,Date,Rate,Open,High,Low,Volume,Change %
741,2018-12-27,1314.1,1350.65,1351.1,1313.52,136.31M,-0.15
742,2018-12-26,1316.1,1308.27,1330.9,1307.62,62.14M,0.3
743,2018-12-25,1312.12,1272.24,1314.1,1252.64,133.27M,1.9
744,2018-12-24,1287.62,1320.69,1324.11,1282.45,93.08M,-2.07
745,2018-12-23,1314.81,1333.29,1333.35,1298.93,95.39M,-4.72
746,2018-12-20,1380.0,1383.87,1384.34,1376.84,89.36M,-1.98
747,2018-12-19,1407.92,1400.13,1407.92,1397.03,91.03M,0.66
748,2018-12-18,1398.75,1408.23,1409.05,1395.15,56.60M,-0.92
749,2018-12-17,1411.78,1413.3,1421.3,1407.71,63.95M,-0.28
750,2018-12-16,1415.69,1426.17,1426.17,1415.69,20.80M,-1.8
751,2018-12-13,1441.7,1435.74,1441.93,1434.6,63.11M,0.12
752,2018-12-12,1440.03,1441.51,1446.56,1438.7,59.84M,-0.02
753,2018-12-11,1440.25,1432.28,1445.54,1432.28,89.37M,0.68
754,2018-12-10,1430.49,1436.33,1437.45,1426.82,65.72M,-0.72
755,2018-12-09,1440.86,1434.36,1440.86,1433.47,29.73M,-0.22
756,2018-12-06,1444.07,1464.28,1465.34,1444.07,106.30M,-2.46
757,2018-12-05,1480.55,1462.71,1480.55,1461.86,98.96M,0.57
758,2018-12-04,1472.21,1484.79,1484.79,1471.3,64.86M,-1.27
759,2018-12-03,1491.08,1497.27,1499.51,1489.61,54.13M,0.11
760,2018-12-02,1489.43,1482.17,1489.49,1481.59,31.08M,1.42
761,2018-11-29,1468.56,1476.78,1479.37,1468.56,189.34M,-0.26
762,2018-11-28,1472.36,1467.36,1475.56,1465.51,43.66M,0.79
763,2018-11-27,1460.89,1463.13,1467.75,1457.45,54.45M,0.14
764,2018-11-26,1458.9,1446.81,1458.9,1446.52,49.67M,1.32
765,2018-11-25,1439.88,1444.18,1447.23,1436.6,20.38M,-0.51
766,2018-11-22,1447.31,1459.2,1459.29,1444.2,46.96M,-0.65
767,2018-11-21,1456.77,1452.92,1457.42,1450.52,46.88M,0.5
768,2018-11-20,1449.55,1463.43,1467.15,1446.28,59.15M,-1.63
769,2018-11-19,1473.5,1476.3,1481.97,1472.91,45.45M,-0.21
770,2018-11-18,1476.57,1477.67,1482.79,1475.7,21.79M,0.31
771,2018-11-15,1472.02,1477.58,1480.25,1469.53,66.01M,-0.17
772,2018-11-14,1474.52,1481.77,1484.23,1472.77,46.43M,-0.65
773,2018-11-13,1484.21,1480.94,1487.73,1479.21,51.00M,0.24
774,2018-11-12,1480.69,1493.08,1497.59,1476.47,59.10M,-0.6
775,2018-11-11,1489.68,1489.56,1494.12,1488.39,38.55M,-0.25
776,2018-11-08,1493.38,1485.86,1500.21,1485.86,87.84M,0.35
777,2018-11-07,1488.14,1465.65,1488.14,1464.14,64.14M,1.63
778,2018-11-06,1464.22,1460.67,1464.22,1456.41,86.85M,0.61
779,2018-11-05,1455.33,1455.37,1460.93,1453.41,51.10M,-0.09
780,2018-11-04,1456.62,1461.86,1462.03,1453.03,15.79M,-0.11
781,2018-11-01,1458.22,1438.47,1458.22,1437.73,128.01M,1.48
